"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14347","@Web Client App login with jsonData - test33222@gmail.com","","2026-04-24","passed","2026-04-24","","ClientAppPO.spec.js","",""
"","18465","@Web Client App login with jsonData - marie.valencia@example.com","","2026-04-24","passed","2026-04-24","","ClientAppPO.spec.js","",""
"","7596","Banner is NOT visible when 4 events are returned","","2026-04-24","passed","2026-04-24","","Task3.spec.js","",""
"","8870","Playwright Special locators","","2026-04-24","passed","2026-04-24","","Locators.spec.js","",""
"","15037","Cross-User Booking Access Denied","","2026-04-24","passed","2026-04-24","","Task4.spec.js","",""
"","2","Browser Context Playwright Test","","2026-04-24","skipped","2026-04-24","","ClientApp.spec.js","",""
"","24496","Task 1 Test","","2026-04-24","passed","2026-04-24","","Task1.spec.js","",""
"","1","Place order","","2026-04-24","failed","2026-04-24","","WebAPIPart1.spec.js","",""
"","0","Browser Context Playwright Test","","2026-04-24","skipped","2026-04-24","","ClientAppOtherWay.spec.js","",""
"","24200","Group ticket booking is NOT eligible for refund","","2026-04-24","passed","2026-04-24","","Task2.spec.js","",""
"","5202","@Web UI Controls","","2026-04-24","passed","2026-04-24","","UIBasicstest.spec.js","",""
"","11308","Browser Context Playwright Test","","2026-04-24","passed","2026-04-24","","WebAPIPart2.spec.js","",""
"","27413","Single ticket booking is eligible for refund","","2026-04-24","passed","2026-04-24","","Task2.spec.js","",""
"","9836","Banner IS visible when 6 events are returned","","2026-04-24","passed","2026-04-24","","Task3.spec.js","",""
"","5480","Place order","","2026-04-24","passed","2026-04-24","","NetworkTest.spec.js","",""
"","5575","@Web Child Window Handling","","2026-04-24","passed","2026-04-24","","UIBasicstest.spec.js","",""
"","11394","@Web Browser Context Playwright Test","","2026-04-24","passed","2026-04-24","","UIBasicstest.spec.js","",""
"","6282","Calendar validations","","2026-04-24","passed","2026-04-24","","Calendar.spec.js","",""
"","20404","@QW Security test request intercept","","2026-04-24","passed","2026-04-24","","NetworkTest2.spec.js","",""
"","15888","@Web Popup validation","","2026-04-24","passed","2026-04-24","","MoreValidations.spec.js","",""
"","13492","Upload download excel validation","","2026-04-24","passed","2026-04-24","","upload-download.spec.js","",""
